epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0274,1.56623,1.82596,1.11243,0.44561,0.25561,0.23112,0.12004,1.636,1.41179,1.08837,0.000235817,0.000235817,0.000235817
2,26.6567,1.39477,1.04275,1.02609,0.49601,0.28227,0.27342,0.13999,1.60834,1.23967,1.09255,0.000470929,0.000470929,0.000470929
3,37.9454,1.3659,0.95773,1.01808,0.44457,0.25981,0.28086,0.13984,1.62967,1.21343,1.11412,0.000694571,0.000694571,0.000694571
4,49.1503,1.31014,0.88812,1.00024,0.46177,0.29706,0.30414,0.15003,1.63074,1.1828,1.11651,0.000675478,0.000675478,0.000675478
5,60.4694,1.27021,0.82178,0.97961,0.50443,0.2934,0.30714,0.14672,1.60064,1.14217,1.09396,0.000646501,0.000646501,0.000646501
6,71.6604,1.21946,0.79019,0.96496,0.46931,0.29809,0.29921,0.15036,1.60142,1.1446,1.09752,0.000610483,0.000610483,0.000610483
7,82.9477,1.18186,0.75488,0.9551,0.54404,0.30157,0.31277,0.15286,1.60093,1.15499,1.09355,0.000568311,0.000568311,0.000568311
8,93.9371,1.13615,0.71702,0.9405,0.44597,0.30928,0.32294,0.16717,1.59508,1.07259,1.08366,0.000521024,0.000521024,0.000521024
9,105.28,1.1135,0.69258,0.93409,0.58478,0.30238,0.31877,0.16445,1.57224,1.06828,1.08591,0.000469786,0.000469786,0.000469786
10,116.794,1.08897,0.67688,0.92628,0.43215,0.29882,0.31411,0.16004,1.57654,1.08134,1.07335,0.000415859,0.000415859,0.000415859
11,128.044,1.03683,0.64248,0.91552,0.4524,0.34518,0.34042,0.17614,1.56393,1.03851,1.08087,0.00036057,0.00036057,0.00036057
12,139.525,1.00637,0.61945,0.90633,0.41691,0.3502,0.33323,0.17152,1.55877,1.02285,1.06569,0.000305281,0.000305281,0.000305281
13,150.928,0.98428,0.60287,0.90605,0.46606,0.37215,0.35624,0.18312,1.54788,1.02053,1.06245,0.000251354,0.000251354,0.000251354
14,162.355,0.96098,0.582,0.89491,0.47078,0.34084,0.34031,0.17785,1.54027,1.01509,1.06446,0.000200116,0.000200116,0.000200116
15,173.629,0.92772,0.56618,0.88932,0.48276,0.35166,0.35779,0.18601,1.52601,0.98765,1.06229,0.000152829,0.000152829,0.000152829
16,219.753,1.4515,0.94307,1.04202,0.47353,0.34971,0.34576,0.17582,1.52259,1.00845,1.06177,0.000110657,0.000110657,0.000110657
17,231.758,1.4056,0.87996,1.01799,0.51618,0.34545,0.36426,0.19063,1.50969,0.96729,1.04634,7.46391e-05,7.46391e-05,7.46391e-05
18,243.416,1.37869,0.84762,1.00623,0.54457,0.33154,0.37645,0.1958,1.49354,0.95818,1.03927,4.56616e-05,4.56616e-05,4.56616e-05
19,255.841,1.37745,0.84306,1.00115,0.47296,0.36732,0.37973,0.19913,1.49067,0.95391,1.03713,2.44381e-05,2.44381e-05,2.44381e-05
20,266.738,1.38574,0.86527,1.00328,0.44228,0.37938,0.38154,0.20255,1.48528,0.94555,1.03548,1.14913e-05,1.14913e-05,1.14913e-05
